id,title,author,available,isbn13,price,format,publisher,pubdate,subjects,pages,overview
54,The Norton Anthology of Poetry,Margaret Ferguson,1,9780393979206,$66.30,Paperback,"Norton, W. W. & Company, Inc.",December 2004,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",2256," <b>Offering over one thousand years of verse from the medieval period to the present,</b> The Norton Anthology of Poetry is the classroom standard for the study of poetry in English.</p>
 The Fifth Edition retains the flexibility and breadth of selection that has defined this classic anthology, while improved and expanded editorial apparatus make it an even more useful teaching tool.</p>"
55,"The Norton Anthology of African American Literature, Vol. 2",Henry Louis Gates Jr.,1,9780393977783,$72.82,Paperback,"Norton, W. W. & Company, Inc.",December 2003,Peoples & Cultures - American Anthologies,2832," <b>Welcomed on publication as ""brilliant, definitive, and a joy to teach from,""</b> The Norton Anthology of African American Literature was adopted at more than 1,275 colleges and universities worldwide. Now, the new Second Edition offers these highlights.</p>"
56,"Poems, Poets, Poetry: An Introduction and Anthology",Helen Vendler,1,9780312463199,$1.99,Paperback,Bedford/St. Martin's,October 2009,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",752,"<br>
Many students today are puzzled by the meaning and purpose of poetry. <i>Poems, Poets, Poetry</i> demystifies the form and introduces students to its artistry and pleasures, using methods that Helen Vendler has successfully used herself over her long, celebrated career. Guided by Vendler’s erudite yet down-to-earth approach, students at all levels can benefit from her authoritative instruction. Her blend of new and canonical poets includes the broadest selection of new and multi-racial poets offered by any introductory text. Comprehensive and astute, this text engages students in effective ways of reading — and taking delight in — poetry."
57,The Poets Laureate Anthology,Elizabeth Hun Schmidt,1,9780393061819,$38.52,Hardcover,"Norton, W. W. & Company, Inc.",October 2010,"Poetry, American Literature Anthologies, Anthologies",816,"<p class=""null1"">The first anthology to gather poems by the forty-three poets laureate of the United States.</p>
 As a record of poetry, <b>The Poets Laureate Anthology</b> is groundbreaking, charting the course of American poetry over the last seventy-five years, while being, at the same time, a pleasure to read, full of some of the world’s best-known poems and many new surprises. Elizabeth Hun Schmidt has gathered and introduced poems by each of the forty-three poets who have been named our nation’s poets laureate since the post (originally called Consultant in Poetry to the Library of Congress) was established in 1937. Poets range from Robert Pinsky, William Carlos Williams, and Elizabeth Bishop to Charles Simic, Billy Collins, and Rita Dove. Schmidt’s spirited introductions place the poets and their poems in historical and literary context and shine light on the interesting and often uneasy relationship between politics and art. This is an inviting, monumental collection for everyone’s library, containing much of the best poetry written in America over the last century.</p>"
58,The Portable Beat Reader,Various,1,9780142437537,$18.00,Paperback,Penguin Group (USA),July 2003,"Literary Collections, American",,
59,The Best American Short Plays 2008-2009,Barbara Parisi,1,9781557837608,$14.85,Paperback,Applause Theatre Book Publishers,October 2010,"Drama Anthologies, American Drama, American Literature Anthologies",356," This edition of the highly esteemed and long-enduring Best American Short Plays series contains fresh-voiced, cutting-edge plays by nineteen playwrights, both established and among the most promising of the new millennium. Each of these plays reflects the enormous diversity of contemporary American theatre.</p>"
60,The Gift of Love,Lori Foster,1,9780425234280,$14.43,Paperback,Penguin Group (USA),June 2010,"Short Story Anthologies, Family & Friendship - Fiction, American Literature Anthologies",368," <b>Edited by <i>New York Times</i> bestselling author Lori Foster-a heartwarming anthology of all-new stories that celebrate family love.</b></p>
 Families come in many configurations, and every one is unique, made up of the personalities of each member. But the love that connects families is universal. Whether it is the love of parents for their children, the love between a husband and wife, the love between siblings, a love that transcends generations, or even the love for a family member never met, the family ties that bind us are the strongest and deepest emotional connections we experience. Families influence a person's development, how they treat others, and how they view life. In <i>The Gift of Love</i>, eight exceptional writers offer a variety of unique perspectives on what family love means and how it impacts our lives in ways profound and often surprising.</p>
 Featuring:</p>
 Lori Foster ? Heidi Betts ? Jules Bennett ? Ann Christopher ? Lisa Cooke ? Paige Cuccaro ? Gia Dawn ? Helen Kay Dimon</p>"
61,One Hundred and One Famous Poems (Barnes &amp; Noble Library of Essential Reading),Roy J. Cook,1,9781435114760,$8.95,Paperback,Barnes & Noble,February 2009,Literary Collections,,
62,The Vintage Book of Contemporary American Poetry,J. D. McClatchy,1,9781400030934,$13.65,Paperback,Knopf Doubleday Publishing Group,April 2003,"Poetry Anthologies, American Poetry, American Literature Anthologies",656," Dazzling in its range, exhilarating in its immediacy and grace, this collection gathers together, from every region of the country and from the past forty years, the poems that continue to shape our imaginations. From Robert Lowell and Elizabeth Bishop, John Ashbery and Adrienne Rich, to Robert Haas and Louise Gluck, this anthology takes the full measure of our poetry's daring energies and its tender understandings.</p>"
63,Literature: A Pocket Anthology,R. S. Gwynn,1,9780205655106,$46.67,Paperback,Longman,January 2009,Literary Collections,,
64,I'll Fly Away: Further Testimonies from the Women of York Prison,Wally Lamb,1,9780061626395,$10.99,Paperback,HarperCollins Publishers,October 2008,"Penology & Correctional Studies - General & Miscellaneous, Prisons & Prison Life, American Literature Anthologies",288," For several years, Wally Lamb, the author of two of the most beloved novels of our time, has run a writing workshop at the York Correctional Institution, Connecticut's only maximum-security prison for women. Writing, Lamb discovered, was a way for these women to face their fears and failures and begin to imagine better lives. <b>Couldn't Keep It to Myself</b>, a collection of their essays, was published in 2003 to great critical acclaim. With <b>I'll Fly Away</b>, Lamb offers readers a new volume of intimate pieces from the York workshop. Startling, heartbreaking, and inspiring, these stories are as varied as the individuals who wrote them, but each illuminates an important core truth: that a life <b>can</b> be altered through self-awareness and the power of the written word.</p>"
65,American Earth: Environmental Writing Since Thoreau,Bill McKibben,1,9781598530209,$29.13,Hardcover,Library of America,April 2008,"Natural Literature & History, Literature Anthologies - General & Miscellaneous, American Literature Anthologies",900," As America and the world grapple with the consequences of global environmental change, writer and activist Bill McKibben offers this unprecedented, provocative, and timely anthology, gathering the best and most significant American environmental writing from the last two centuries.</p>
 Classics of the environmental imagination-the essays of Henry David Thoreau, John Muir, and John Burroughs; Aldo Leopold's <i>A Sand County Almanac</i>; Rachel Carson's <i>Silent Spring</i>'are set against the inspiring story of an emerging activist movement, as revealed by newly uncovered reports of pioneering campaigns for conservation, passages from landmark legal opinions and legislation, and searing protest speeches. Here are some of America's greatest and most impassioned writers, taking a turn toward nature and recognizing the fragility of our situation on earth and the urgency of the search for a sustainable way of life. Thought-provoking essays on overpopulation, consumerism, energy policy, and the nature of 'nature' join ecologists' memoirs and intimate sketches of the habitats of endangered species. The anthology includes a detailed chronology of the environmental movement and American environmental history, as well as an 80-page color portfolio of illustrations.</p>"
